Nome Algoritmo;K-Fold;Acurácia;Precisão;Sensibilidade;Taxa de Falsa Previsão Positiva;Tempo de Processamento (s);VN;FP;FN;VP
GradientBoosting-100-OverSampling;1;0,846;0,95;0,803;0,175;0;85;7;33;135
GradientBoosting-100-OverSampling;2;0,811;0,875;0,815;0,387;0;78;19;30;133
GradientBoosting-100-OverSampling;3;0,842;0,908;0,804;0,292;0,01562237;100;12;29;119
GradientBoosting-100-OverSampling;4;0,834;0,853;0,847;0,488;0;95;21;22;122
GradientBoosting-100-OverSampling;5;0,85;0,925;0,81;0,256;0;97;10;29;124
GradientBoosting-100-OverSampling;6;0,865;0,899;0,87;0,428;0;91;15;20;134
GradientBoosting-100-OverSampling;7;0,846;0,93;0,817;0,25;0;86;10;30;134
GradientBoosting-100-OverSampling;8;0,857;0,871;0,865;0,486;0,01562523;101;18;19;122
GradientBoosting-100-OverSampling;9;0,834;0,96;0,762;0,116;0;95;5;38;122
GradientBoosting-100-OverSampling;10;0,819;0,871;0,793;0,361;0;98;17;30;115
;;;;;;;;;;
Médias;;84,04%;90,42%;81,86%;32,39%;0,00312476;92,6;13,4;28;126
