Nome Algoritmo;K-Fold;Acurácia;Precisão;Sensibilidade;Taxa de Falsa Previsão Positiva;Tempo de Processamento (s);VN;FP;FN;VP
GradientBoosting-100-UnderSampling;1;0,807;0,905;0,77;0,26;0;86;13;37;124
GradientBoosting-100-UnderSampling;2;0,823;0,912;0,786;0,26;0;89;12;34;125
GradientBoosting-100-UnderSampling;3;0,85;0,905;0,827;0,333;0;96;13;26;125
GradientBoosting-100-UnderSampling;4;0,834;0,917;0,81;0,279;0;84;12;31;133
GradientBoosting-100-UnderSampling;5;0,838;0,937;0,802;0,214;0;84;9;33;134
GradientBoosting-100-UnderSampling;6;0,823;0,895;0,789;0,304;0;94;14;32;120
GradientBoosting-100-UnderSampling;7;0,83;0,949;0,781;0,159;0;84;7;37;132
GradientBoosting-100-UnderSampling;8;0,838;0,92;0,759;0,214;0,0080769;114;9;33;104
GradientBoosting-100-UnderSampling;9;0,853;0,907;0,836;0,342;0;94;13;25;128
GradientBoosting-100-UnderSampling;10;0,826;0,951;0,75;0,133;0;98;6;39;117
;;;;;;;;;;
Médias;;83,22%;91,98%;79,10%;24,98%;0,00080769;92,3;10,8;32,7;124,2
