Nome Algoritmo;K-Fold;Acurácia;Precisão;Sensibilidade;Taxa de Falsa Previsão Positiva;Tempo de Processamento (s);VN;FP;FN;VP
RandomForest-100-OverSampling;1;0,815;0,882;0,831;0,395;0,01561999;69;19;29;143
RandomForest-100-OverSampling;2;0,842;0,881;0,841;0,414;0,01565432;92;17;24;127
RandomForest-100-OverSampling;3;0,83;0,902;0,812;0,318;0,02209234;86;14;30;130
RandomForest-100-OverSampling;4;0,873;0,909;0,881;0,424;0,0155909;86;14;19;141
RandomForest-100-OverSampling;5;0,823;0,915;0,792;0,26;0,01562619;84;12;34;130
RandomForest-100-OverSampling;6;0,857;0,929;0,83;0,27;0;91;10;27;132
RandomForest-100-OverSampling;7;0,846;0,878;0,855;0,45;0,01563143;90;18;22;130
RandomForest-100-OverSampling;8;0,873;0,921;0,87;0,363;0,01562213;86;12;21;141
RandomForest-100-OverSampling;9;0,869;0,888;0,888;0,5;0,0155909;91;17;17;135
RandomForest-100-OverSampling;10;0,85;0,884;0,841;0,41;0,01562213;99;16;23;122
;;;;;;;;;;
Médias;;84,78%;89,89%;84,41%;38,04%;0,014705033;87,4;14,9;24,6;133,1
