id_matricula;ano_ingresso;periodo_ingresso;porcentagem_curso;cre;qtd_periodos_cursados;qtd_disciplinas_curso;qtd_disciplinas_aprovadas;qtd_disciplinas_reprovadas_nota;qtd_disciplinas_reprovadas_falta;qtd_disciplinas_canceladas;qtd_disciplinas_trancadas;evadiu
36402;2007;1;0.00;0.00;1;35;0;0;6;0;0;1
36412;2007;1;0.00;0.00;1;35;0;0;6;0;0;1
36413;2007;1;0.89;23.90;2;35;1;2;3;0;0;1
36414;2007;1;40.51;47.21;5;36;19;2;14;0;0;1
36415;2007;1;2.78;5.83;1;35;1;2;9;0;0;1
36416;2007;1;81.01;69.18;8;36;35;0;2;0;0;0
32600;2007;1;48.72;53.38;8;36;17;1;5;0;6;1
32601;2007;1;25.00;43.63;2;37;10;2;6;0;0;1
32603;2007;1;47.22;78.14;5;36;17;0;0;0;5;1
32602;2007;1;0.00;0.00;3;35;0;0;6;0;0;1
32604;2007;1;33.33;47.00;6;35;13;3;5;0;4;1
32605;2007;1;0.00;0.00;3;35;0;0;6;0;0;1
32606;2007;1;82.05;66.28;5;37;32;9;0;0;0;1
32607;2007;1;38.89;48.02;3;35;14;4;6;0;0;1
32608;2007;1;81.01;69.75;6;37;34;2;3;0;0;0
32609;2007;1;19.44;42.08;2;36;7;1;6;0;0;1
32610;2007;1;11.39;50.76;2;35;6;1;4;0;0;1
32611;2007;1;87.34;82.41;7;39;38;0;0;0;0;0
32612;2007;1;0.00;3.83;3;35;0;1;6;0;0;1
32613;2007;1;0.00;17.33;2;35;0;0;4;0;0;1
32614;2007;1;75.95;62.06;7;37;33;9;0;0;6;1
32615;2007;1;47.22;77.07;5;36;17;0;0;0;5;1
32616;2007;1;11.11;36.31;2;35;4;0;4;0;0;1
32617;2007;1;10.97;52.44;2;35;16;1;5;0;2;1
32618;2007;1;52.78;45.81;6;36;19;6;7;0;0;1
32619;2007;1;78.48;65.54;5;37;34;6;1;0;0;1
32620;2007;1;55.70;49.74;6;36;25;6;10;0;0;1
32621;2007;1;87.34;88.30;6;39;38;0;0;0;0;0
32622;2007;1;87.34;83.51;6;39;38;0;0;0;0;0
32623;2007;1;87.34;81.54;6;39;38;0;0;0;0;0
32624;2007;1;51.28;50.87;7;36;20;4;7;0;0;1
32625;2007;1;60.76;49.22;5;36;27;12;2;0;1;1
32626;2007;1;22.78;25.73;3;36;10;5;16;0;0;1
32627;2007;1;0.00;0.00;3;35;0;0;6;0;0;1
32628;2007;1;81.01;83.22;6;36;30;1;0;0;0;0
32629;2007;1;87.18;83.02;6;39;34;0;0;0;0;0
32630;2007;1;0.00;5.20;3;35;0;0;6;0;0;1
32631;2007;1;0.00;0.00;3;35;0;0;6;0;0;1
32632;2007;1;0.00;8.20;3;35;0;0;6;0;0;1
32633;2007;1;56.41;50.60;6;36;22;8;3;0;4;1
32634;2007;2;86.08;62.04;2;40;30;5;2;0;1;0
