Nome Algoritmo;Execução;Acurácia;Precisão;Sensibilidade;Taxa de Falsa Previsão Positiva;Tempo de Processamento (s);VN;FP;FN;VP
Teste4-AumentoDeGradiente-100;1;0,890;0,913;0,907;0,482;0,00099730;88;14;15;148
Teste4-AumentoDeGradiente-100;2;0,852;0,843;0,923;0,692;0,00100255;81;27;12;145
Teste4-AumentoDeGradiente-100;3;0,890;0,913;0,907;0,482;0,00100231;88;14;15;148
Teste4-AumentoDeGradiente-100;4;0,871;0,868;0,914;0,617;0,0;92;21;13;139
Teste4-AumentoDeGradiente-100;5;0,894;0,9;0,923;0,571;0,00099301;93;16;12;144
Teste4-AumentoDeGradiente-100;6;0,943;0,939;0,968;0,666;0,00099802;96;10;5;154
Teste4-AumentoDeGradiente-100;7;0,886;0,908;0,883;0,433;0,00099730;106;13;17;129
Teste4-AumentoDeGradiente-100;8;0,864;0,917;0,848;0,333;0,00099730;95;12;24;134
Teste4-AumentoDeGradiente-100;9;0,932;0,929;0,954;0,611;0,00099754;101;11;7;146
Teste4-AumentoDeGradiente-100;10;0,905;0,894;0,937;0,64;0,00099706;105;16;9;135

Médias;;=MÉDIA(C2:C11);=MÉDIA(D2:D11);=MÉDIA(E2:E11);=MÉDIA(F2:F11);=MÉDIA(G2:G11);=MÉDIA(H2:H11);=MÉDIA(I2:I11);=MÉDIA(J2:J11);=MÉDIA(K2:K11);
