Nome Algoritmo;Execução;Acurácia;Precisão;Sensibilidade;Taxa de Falsa Previsão Positiva;Tempo de Processamento (s);VN;FP;FN;VP
Teste5-AumentoDeGradiente-100-OverSampling;1;0,901;0,932;0,909;0,423;0,00199389;88;11;15;151
Teste5-AumentoDeGradiente-100-OverSampling;2;0,950;0,945;0,975;0,692;0,00099730;95;9;4;157
Teste5-AumentoDeGradiente-100-OverSampling;3;0,898;0,926;0,896;0,407;0,00199580;99;11;16;139
Teste5-AumentoDeGradiente-100-OverSampling;4;0,916;0,937;0,926;0,454;0,00099611;92;10;12;151
Teste5-AumentoDeGradiente-100-OverSampling;5;0,890;0,947;0,851;0,241;0,00100874;110;7;22;126
Teste5-AumentoDeGradiente-100-OverSampling;6;0,916;0,896;0,967;0,772;0,00099730;95;17;5;148
Teste5-AumentoDeGradiente-100-OverSampling;7;0,871;0,924;0,853;0,323;0,00100278;97;11;23;134
Teste5-AumentoDeGradiente-100-OverSampling;8;0,890;0,909;0,925;0,551;0,00100398;75;16;13;161
Teste5-AumentoDeGradiente-100-OverSampling;9;0,905;0,913;0,930;0,56;0,00098419;93;14;11;147
Teste5-AumentoDeGradiente-100-OverSampling;10;0,879;0,900;0,875;0,437;0,00099682;106;14;18;127

Médias;;=MÉDIA(C2:C11);=MÉDIA(D2:D11);=MÉDIA(E2:E11);=MÉDIA(F2:F11);=MÉDIA(G2:G11);=MÉDIA(H2:H11);=MÉDIA(I2:I11);=MÉDIA(J2:J11);=MÉDIA(K2:K11);
