Nome Algoritmo;Execução;Acurácia;Precisão;Sensibilidade;Taxa de Falsa Previsão Positiva;Tempo de Processamento (s);VN;FP;FN;VP
Teste6-AumentoDeGradiente-100-UnderSampling;1;0,883;0,878;0,909;0,580;0,00099849;104;18;13;130
Teste6-AumentoDeGradiente-100-UnderSampling;2;0,928;0,972;0,903;0,210;0,00099730;106;4;15;140
Teste6-AumentoDeGradiente-100-UnderSampling;3;0,856;0,907;0,835;0,342;0,00099706;100;13;25;127
Teste6-AumentoDeGradiente-100-UnderSampling;4;0,913;0,940;0,894;0,347;0,00098514;115;8;15;127
Teste6-AumentoDeGradiente-100-UnderSampling;5;0,875;0,906;0,876;0,424;0,00099682;97;14;19;135
Teste6-AumentoDeGradiente-100-UnderSampling;6;0,883;0,933;0,885;0,354;0,00199580;80;11;20;154
Teste6-AumentoDeGradiente-100-UnderSampling;7;0,871;0,911;0,878;0,411;0,00099706;86;14;20;145
Teste6-AumentoDeGradiente-100-UnderSampling;8;0,875;0,945;0,848;0,242;0,00199460;92;8;25;140
Teste6-AumentoDeGradiente-100-UnderSampling;9;0,939;0,933;0,968;0,687;0,00098419;95;11;5;154
Teste6-AumentoDeGradiente-100-UnderSampling;10;0,856;0,926;0,836;0,289;0,00099635;89;11;27;138

Médias;;=MÉDIA(C2:C11);=MÉDIA(D2:D11);=MÉDIA(E2:E11);=MÉDIA(F2:F11);=MÉDIA(G2:G11);=MÉDIA(H2:H11);=MÉDIA(I2:I11);=MÉDIA(J2:J11);=MÉDIA(K2:K11);
